title,distance,prices
2008 Volkswagen Touareg 3.0 V6 TDI,"1,06,158 km  |  Diesel  |  Hyderabad",Rs. 8 Lakh
2015 Volkswagen Vento Comfortline Diesel AT,"87,842 km  |  Diesel  |  Hyderabad",Rs. 7.35 Lakh
2013 Toyota Fortuner 3.0 4x2 MT,"2,67,117 km  |  Diesel  |  Hyderabad",Rs. 15 Lakh
2018 Honda Jazz VX CVT Petrol,"14,971 km  |  Petrol  |  Hyderabad",Rs. 8.75 Lakh
2019 BMW 6 Series GT 620d Luxury Line [2019-2019],"68,885 km  |  Diesel  |  Hyderabad",Rs. 59.95 Lakh
2019 BMW 6 Series GT 620d Luxury Line [2019-2019],"68,885 km  |  Diesel  |  Hyderabad",Rs. 59.95 Lakh
2019 Toyota Innova Crysta 2.4 G 8 STR [2016-2017],"49,391 km  |  Diesel  |  Hyderabad",Rs. 21.5 Lakh
2022 Mercedes-Benz GLC 220d 4MATIC Progressive,"30,000 km  |  Diesel  |  Hyderabad",Rs. 69.75 Lakh
2017 Hyundai Creta SX Plus 1.6 AT CRDI,"85,381 km  |  Diesel  |  Hyderabad",Rs. 12 Lakh
2022 Mahindra Thar LX Hard Top Diesel AT,"16,665 km  |  Diesel  |  Hyderabad",Rs. 18.5 Lakh
2021 Kia Carnival Premium 7 STR,"31,720 km  |  Diesel  |  Hyderabad",Rs. 29 Lakh
2017 Hyundai Creta SX Plus 1.6 AT CRDI,"84,688 km  |  Diesel  |  Hyderabad",Rs. 11.5 Lakh
2011 Mercedes-Benz C-Class 250 CDI,"76,000 km  |  Diesel  |  Hyderabad",Rs. 11 Lakh
2022 Maruti Suzuki Eeco 5 STR AC (O) CNG,"5,098 km  |  CNG  |  Hyderabad",Rs. 7 Lakh
2018 Toyota Innova Crysta 2.4 G 8 STR [2016-2017],"46,781 km  |  Diesel  |  Hyderabad",Rs. 19 Lakh
2022 Hyundai i20 Sportz 1.5 MT Diesel,"11,640 km  |  Diesel  |  Hyderabad",Rs. 10.8 Lakh
2022 Toyota Fortuner 4X2 AT 2.8 Diesel,"32,057 km  |  Diesel  |  Hyderabad",Rs. 47.5 Lakh
2011 Toyota Innova 2.5 V 7 STR,"1,51,368 km  |  Diesel  |  Hyderabad",Rs. 7 Lakh
2013 Mercedes-Benz A-Class A 180 CDI Style,"86,725 km  |  Diesel  |  Hyderabad",Rs. 13 Lakh
2021 Honda Amaze 1.2 S MT Petrol [2018-2020],"30,602 km  |  Petrol  |  Hyderabad",Rs. 6.95 Lakh
2019 Honda Amaze 1.2 VX MT Petrol [2018-2020],"19,232 km  |  Petrol  |  Hyderabad",Rs. 7.25 Lakh
2019 Honda Amaze 1.2 V CVT Petrol [2018-2020],"63,859 km  |  Petrol  |  Hyderabad",Rs. 7.5 Lakh
2014 Hyundai Verna Fluidic 1.6 CRDi SX,"87,708 km  |  Diesel  |  Hyderabad",Rs. 5.56 Lakh
2013 Hyundai i20 Magna (O) 1.2,"92,716 km  |  Petrol  |  Hyderabad",Rs. 3.98 Lakh
2011 Hyundai i20 Sportz 1.2 BS-IV,"90,279 km  |  Petrol  |  Hyderabad",Rs. 3.01 Lakh
2018 Renault Kwid CLIMBER 1.0 AMT [2017-2019],"37,830 km  |  Petrol  |  Hyderabad",Rs. 3.9 Lakh
2018 Honda Jazz VX CVT Petrol,"37,274 km  |  Petrol  |  Hyderabad",Rs. 6.83 Lakh
2016 Honda Amaze 1.5 SX i-DTEC,"1,09,632 km  |  Diesel  |  Hyderabad",Rs. 4.62 Lakh
2019 Tata Tiago Revotron XZ Plus Dual Tone,"55,220 km  |  Petrol  |  Hyderabad",Rs. 5.7 Lakh
2016 Hyundai Elite i20 Asta 1.4 (O) CRDi,"63,704 km  |  Diesel  |  Hyderabad",Rs. 6.88 Lakh
2016 Maruti Suzuki Alto 800 LXi (O),"43,501 km  |  Petrol  |  Hyderabad",Rs. 2.94 Lakh
2012 Honda Brio S(O)MT,"94,634 km  |  Petrol  |  Hyderabad",Rs. 2.91 Lakh
2012 Hyundai i10 Magna 1.2 Kappa2,"22,363 km  |  Petrol  |  Hyderabad",Rs. 3.25 Lakh
2012 Maruti Suzuki Alto 800 Lxi,"65,731 km  |  Petrol  |  Hyderabad",Rs. 2.51 Lakh
2011 Maruti Suzuki Swift VXi,"86,193 km  |  Petrol  |  Hyderabad",Rs. 3.57 Lakh
2016 Datsun redi-GO S [2016-2019],"64,045 km  |  Petrol  |  Hyderabad",Rs. 2.45 Lakh
2021 Honda City 4th Generation V CVT Petrol [2017-2019],"64,684 km  |  Petrol  |  Hyderabad",Rs. 10.84 Lakh
2010 Hyundai i10 Sportz 1.2,"80,828 km  |  Petrol  |  Hyderabad",Rs. 2.58 Lakh
2013 Maruti Suzuki Alto 800 Lxi,"27,387 km  |  Petrol  |  Hyderabad",Rs. 2.51 Lakh
2012 Maruti Suzuki Ritz Vxi (ABS) BS-IV,"83,031 km  |  Petrol  |  Hyderabad",Rs. 2.75 Lakh
2016 Maruti Suzuki Alto 800 LXi (O),"27,136 km  |  Petrol  |  Hyderabad",Rs. 3.05 Lakh
2018 Maruti Suzuki Alto 800 Lxi,"62,443 km  |  Petrol  |  Hyderabad",Rs. 3.06 Lakh
2013 Hyundai Eon 1.0 Kappa Magna + [2014-2016],"91,667 km  |  Petrol  |  Hyderabad",Rs. 2.29 Lakh
