title,distance,prices
2017 BMW 7 Series 730Ld M Sport,"22,000 km  |  Diesel  |  Navi Mumbai",Rs. 75 Lakh
2021 Mahindra XUV700 AX 7 Diesel  AT Luxury Pack 7 STR [2021],"16,895 km  |  Diesel + 1  |  Navi Mumbai",Rs. 26 Lakh
2011 Skoda Laura Ambiente 2.0 TDI CR AT,"1,86,000 km  |  Diesel  |  Navi Mumbai",Rs. 2.5 Lakh
2013 BMW 5 Series 530d M Sport [2013-2017],"80,000 km  |  Diesel + 1  |  Navi Mumbai",Rs. 21 Lakh
2012 Audi A6 2.0 TDI Premium,"61,000 km  |  Diesel + 1  |  Navi Mumbai",Rs. 14.5 Lakh
2021 Maruti Suzuki Baleno Zeta,"20,000 km  |  Petrol  |  Navi Mumbai",Rs. 7.61 Lakh
2018 Mercedes-Benz GLE 250 d,"62,000 km  |  Diesel + 1  |  Navi Mumbai",Rs. 48 Lakh
2018 Maruti Suzuki Baleno Delta 1.2,"74,000 km  |  Petrol + 1  |  Navi Mumbai",Rs. 5.5 Lakh
2019 Hyundai Grand i10 Asta 1.2 Kappa VTVT,"76,800 km  |  Petrol + 1  |  Navi Mumbai",Rs. 5.5 Lakh
2014 Hyundai Eon D-Lite +,"44,000 km  |  Petrol + 1  |  Navi Mumbai",Rs. 2.1 Lakh
2018 Maruti Suzuki Celerio VXi [2017-2019],"70,000 km  |  Petrol  |  Navi Mumbai",Rs. 4.98 Lakh
