title,distance,prices
2015 Maruti Suzuki Wagon R 1.0 LXi CNG Avance LE,"78,145 km  |  CNG  |  Pune",Rs. 4.5 Lakh
2015 Mercedes-Benz M-Class ML 350 CDI,"1,10,000 km  |  Diesel  |  Pune",Rs. 27 Lakh
2017 Volkswagen Vento Highline Petrol,"60,642 km  |  Petrol  |  Pune",Rs. 7.15 Lakh
2019 BMW X7 xDrive30d DPE Signature [2019-2020],"45,500 km  |  Diesel  |  Pune",Rs. 99 Lakh
2020 Maruti Suzuki Wagon R 1.0 VXI+,"86,270 km  |  Petrol  |  Pune",Rs. 5.1 Lakh
2012 Mercedes-Benz C-Class C 250 CDI BlueEFFICIENCY,"94,172 km  |  Diesel  |  Pune",Rs. 11.5 Lakh
2017 Hyundai Grand i10 Sportz (O) AT 1.2 Kappa VTVT [2017-2018],"85,374 km  |  Petrol  |  Pune",Rs. 6 Lakh
2019 Hyundai Grand i10 Magna 1.2 Kappa VTVT [2013-2016],"28,810 km  |  Petrol  |  Pune",Rs. 4.84 Lakh
2019 Honda Amaze 1.2 V CVT Petrol [2018-2020],"32,500 km  |  Petrol  |  Pune",Rs. 7.3 Lakh
2022 Mercedes-Benz C-Class C 200 Progressive [2018-2020],"17,000 km  |  Petrol  |  Pune",Rs. 62 Lakh
2018 Jeep Compass Limited 1.4 Petrol AT [2017-2020],"21,500 km  |  Petrol  |  Pune",Rs. 16.5 Lakh
2018 Jeep Compass Limited 1.4 Petrol AT [2017-2020],"21,500 km  |  Petrol  |  Pune",Rs. 16.5 Lakh
2013 Audi Q3 2.0 TDI quattro Premium Plus,"1,20,800 km  |  Diesel  |  Pune",Rs. 12.5 Lakh
2017 Hyundai Elite i20 Asta 1.2 (O) [2016],"1,14,783 km  |  Petrol  |  Pune",Rs. 5.4 Lakh
2015 Hyundai Creta SX Plus 1.6  Petrol,"45,078 km  |  Petrol  |  Pune",Rs. 7.68 Lakh
2015 Maruti Suzuki Ertiga Vxi CNG,"66,996 km  |  CNG  |  Pune",Rs. 6.75 Lakh
2015 Mercedes-Benz M-Class ML 350 CDI,"1,05,736 km  |  Diesel  |  Pune",Rs. 23.5 Lakh
2018 Mercedes-Benz CLA 200 CDI Sport,"99,067 km  |  Diesel  |  Pune",Rs. 21.5 Lakh
2018 Volvo XC60 Inscription [2017-2020],"60,069 km  |  Diesel  |  Pune",Rs. 46 Lakh
2017 Maruti Suzuki Celerio VXi CNG [2017-2019],"86,129 km  |  CNG  |  Pune",Rs. 4.07 Lakh
2012 Maruti Suzuki Alto 800 Lx CNG,"1,04,403 km  |  CNG  |  Pune",Rs. 2.5 Lakh
2016 Maruti Suzuki Swift DZire ZXI,"37,472 km  |  Petrol  |  Pune",Rs. 6.1 Lakh
2018 Maruti Suzuki Ignis Zeta 1.2 MT,"63,842 km  |  Petrol  |  Pune",Rs. 5.65 Lakh
2023 Mercedes-Benz C-Class C 220d [2022-2023],"2,345 km  |  Diesel  |  Pune",Rs. 64.5 Lakh
2015 Mahindra Thar CRDe 4x4 AC,"65,000 km  |  Diesel  |  Pune",Rs. 6.8 Lakh
2016 Mercedes-Benz E-Class E 250 CDI Edition E,"41,600 km  |  Diesel  |  Pune",Rs. 27.5 Lakh
2016 Audi Q7 45 TDI Premium Plus,"49,500 km  |  Diesel  |  Pune",Rs. 53 Lakh
2016 Land Rover Discovery Sport HSE,"78,000 km  |  Diesel  |  Pune",Rs. 32 Lakh
2019 Maruti Suzuki Baleno Zeta Automatic,"36,075 km  |  Petrol  |  Pune",Rs. 7.5 Lakh
2014 Land Rover Range Rover 3.0 V6 Diesel Vogue,"1,77,500 km  |  Diesel  |  Pune",Rs. 85 Lakh
2020 Audi Q7 45 TDI Technology Pack,"35,000 km  |  Diesel  |  Pune",Rs. 72 Lakh
2017 BMW 5 Series 520d Luxury Line [2017-2019],"59,600 km  |  Diesel  |  Pune",Rs. 29 Lakh
2012 Maruti Suzuki Swift VXi,"1,08,089 km  |  Petrol  |  Pune",Rs. 3.75 Lakh
