title,distance,prices
2014 BMW X1 sDrive20d xLine,"1,15,000 km  |  Diesel  |  Chandigarh",Rs. 9.45 Lakh
2017 Mercedes-Benz E-Class E 220 d Avantgarde,"75,000 km  |  Diesel  |  Chandigarh",Rs. 34.5 Lakh
2018 Maruti Suzuki Ciaz Zeta Hybrid  1.5 [2018-2020],"59,000 km  |  Petrol + 1  |  Chandigarh",Rs. 7.25 Lakh
2011 Porsche Cayenne Diesel,"75,000 km  |  Diesel  |  Chandigarh",Rs. 19 Lakh
2013 Jaguar XF 2.2 Diesel Luxury,"42,000 km  |  Diesel  |  Chandigarh",Rs. 12.9 Lakh
2012 Toyota Land Cruiser Prado VX L,"2,18,000 km  |  Diesel  |  Chandigarh",Rs. 37 Lakh
2015 BMW 5 Series 520d Luxury Line [2017-2019],"89,000 km  |  Diesel  |  Chandigarh",Rs. 24.5 Lakh
2014 BMW 3 Series GT 320d Luxury Line [2014-2016],"43,200 km  |  Diesel  |  Chandigarh",Rs. 17.85 Lakh
2015 Audi A6 35 TDI Technology,"94,000 km  |  Diesel  |  Chandigarh",Rs. 13.5 Lakh
2015 Toyota Fortuner 3.0 4x2 MT,"94,000 km  |  Diesel  |  Chandigarh",Rs. 14.5 Lakh
2019 Mercedes-Benz GLC 220 d Progressive,"71,000 km  |  Diesel  |  Chandigarh",Rs. 41.5 Lakh
2016 Mercedes-Benz GLE 250 d,"1,10,000 km  |  Diesel  |  Chandigarh",Rs. 29 Lakh
2018 Hyundai Creta SX 1.6 CRDi (O),"75,000 km  |  Diesel  |  Chandigarh",Rs. 12.9 Lakh
2013 Mercedes-Benz M-Class ML 350 CDI,"86,000 km  |  Diesel  |  Chandigarh",Rs. 17.75 Lakh
2016 Audi Q5 3.0 TDI quattro Premium Plus,"45,000 km  |  Diesel  |  Chandigarh",Rs. 19.5 Lakh
