title,distance,prices
2022 Audi Q5 Technology 45 TFSI,"1,751 km  |  Petrol  |  Kolkata",Rs. 60 Lakh
2021 Jeep Compass Limited (O) 2.0 Diesel 4x4 AT [2021],"35,000 km  |  Diesel  |  Kolkata",Rs. 22.5 Lakh
2022 Audi Q5 Technology 45 TFSI,"1,751 km  |  Petrol  |  Kolkata",Rs. 60 Lakh
2021 Jeep Compass Limited (O) 2.0 Diesel 4x4 AT [2021],"35,000 km  |  Diesel  |  Kolkata",Rs. 22.5 Lakh
2018 Jeep Compass Limited (O) 1.4 Petrol AT [2017-2020],"45,000 km  |  Petrol  |  Kolkata",Rs. 12.5 Lakh
2021 Jeep Compass Model S (O) 1.4 Petrol DCT [2021],"10,154 km  |  Petrol  |  Kolkata",Rs. 22 Lakh
2018 Audi Q5 35 TDI Premium Plus,"66,412 km  |  Diesel  |  Kolkata",Rs. 36 Lakh
2012 Audi Q5 2.0 TDI quattro Technology Pack,"1,00,302 km  |  Diesel  |  Kolkata",Rs. 10 Lakh
2018 Honda WR-V VX MT Petrol,"30,589 km  |  Petrol  |  Kolkata",Rs. 6.49 Lakh
2017 Hyundai Grand i10 Asta 1.2 Kappa VTVT (O) [2013-2017],"33,636 km  |  Petrol  |  Kolkata",Rs. 3.95 Lakh
2015 Maruti Suzuki Wagon R 1.0 VXI,"52,944 km  |  Petrol  |  Kolkata",Rs. 2.85 Lakh
2016 Honda City V,"54,398 km  |  Petrol  |  Kolkata",Rs. 4.49 Lakh
2015 Maruti Suzuki Ciaz VXi+,"31,719 km  |  Petrol  |  Kolkata",Rs. 4 Lakh
2021 Tata Nexon XM,"6,506 km  |  Petrol  |  Kolkata",Rs. 7.99 Lakh
2017 Maruti Suzuki Baleno Delta 1.3,"39,106 km  |  Diesel  |  Kolkata",Rs. 4.99 Lakh
2019 Honda Amaze 1.2 V MT Petrol [2018-2020],"25,440 km  |  Petrol  |  Kolkata",Rs. 5.49 Lakh
2018 Honda WR-V VX MT Petrol,"64,603 km  |  Petrol  |  Kolkata",Rs. 6.3 Lakh
2017 Mahindra Scorpio S10 2WD Intelli-Hybrid,"1,45,245 km  |  Diesel  |  Kolkata",Rs. 9.11 Lakh
2018 Honda City VX CVT,"29,074 km  |  Petrol  |  Kolkata",Rs. 7.49 Lakh
2014 Audi A6 2.0 TDI Premium,"53,020 km  |  Diesel  |  Kolkata",Rs. 14.75 Lakh
2023 Maruti Suzuki Brezza ZXi Plus [2022-2023],"4,298 km  |  Petrol  |  Kolkata",Rs. 11.95 Lakh
