title,distance,prices
2015 Maruti Suzuki Ciaz ZDi+ [2014-2015],"1,02,383 km  |  Diesel  |  Ahmedabad",Rs. 5.29 Lakh
2017 Hyundai Verna 1.6 CRDI S,"80,405 km  |  Diesel  |  Ahmedabad",Rs. 6.26 Lakh
2019 Maruti Suzuki Baleno Delta 1.2,"36,589 km  |  Petrol  |  Ahmedabad",Rs. 5.73 Lakh
2021 Renault Triber RXZ EASY-R AMT Dual Tone,"25,915 km  |  Petrol  |  Ahmedabad",Rs. 7.83 Lakh
2017 Honda BR-V S Diesel,"65,146 km  |  Diesel  |  Ahmedabad",Rs. 6.11 Lakh
2022 Tata Harrier XZA Plus,"34,360 km  |  Diesel  |  Ahmedabad",Rs. 19.02 Lakh
2021 Tata Safari XZ Plus,"25,629 km  |  Diesel  |  Ahmedabad",Rs. 17.4 Lakh
2021 Hyundai Venue SX 1.5 CRDi,"1,21,732 km  |  Diesel  |  Ahmedabad",Rs. 8.72 Lakh
2020 Hyundai Santro Sportz,"78,088 km  |  Petrol  |  Ahmedabad",Rs. 5.07 Lakh
2020 Maruti Suzuki S-Cross 2020 Alpha,"55,112 km  |  Petrol  |  Ahmedabad",Rs. 8.65 Lakh
2018 Honda Brio S (O)MT,"42,100 km  |  Petrol  |  Ahmedabad",Rs. 4.29 Lakh
2018 Maruti Suzuki Ignis Delta 1.2 MT,"40,172 km  |  Petrol  |  Ahmedabad",Rs. 4.51 Lakh
2021 Kia Sonet GTX Plus 1.5 AT [2020-2021],"75,910 km  |  Diesel  |  Ahmedabad",Rs. 11.53 Lakh
2018 Toyota Yaris J CVT [2018-2020],"64,508 km  |  Petrol  |  Ahmedabad",Rs. 7.25 Lakh
2018 Maruti Suzuki Wagon R 1.0 LXI CNG,"1,02,089 km  |  CNG  |  Ahmedabad",Rs. 4.04 Lakh
2020 Hyundai Aura SX Plus 1.2 AMT CRDi,"36,478 km  |  Diesel  |  Ahmedabad",Rs. 7.68 Lakh
